#Evid,Magnitude,Epoch(UTC),Time UTC,Time Local,Distance From,Lat,Lon,Depth Km,Depth Mi
10821018,1.5,1312895568,8/9/11 13:12,2011/08/09 06:12:47 PDT,"11.2 km (   7.0 mi) N   ( 349. azimuth) from Morton, WA",46.6572,-122.3028,14.8,9.2
60847567,1.3,1408390558,8/18/14 19:35,2014/08/18 12:35:57 PDT,"42.2 km (  26.2 mi) NNE (  13. azimuth) from Roseburg, OR",43.5867,-123.2252,0,0
10807748,0.9,1290047267,11/18/10 2:27,2010/11/17 18:27:46 PST,"17.9 km (  11.1 mi) WNW ( 288. azimuth) from Klamath Falls, OR",42.2757,-121.9872,12.1,7.5
60496067,0.8,1358793041,1/21/13 18:30,2013/01/21 10:30:41 PST,"22.7 km (  14.1 mi) SSW ( 197. azimuth) from Bremerton, WA",47.3708,-122.716,23.8,14.7
60483851,1.8,1351887270,11/2/12 20:14,2012/11/02 13:14:30 PDT,"33.6 km (  20.9 mi) WSW ( 237. azimuth) from Morton, WA",46.3917,-122.6407,0,0
10801773,1.8,1282804292,8/26/10 6:31,2010/08/25 23:31:31 PDT,"22.4 km (  13.9 mi) NW  ( 307. azimuth) from Granite Falls, WA",48.206,-122.2077,0,0
10820333,1.7,1312588791,8/5/11 23:59,2011/08/05 16:59:50 PDT,"67.1 km (  41.7 mi) NW  ( 308. azimuth) from Klamath Falls, OR",42.5973,-122.4247,17.5,10.8
60581427,1.6,1377794512,8/29/13 16:41,2013/08/29 09:41:52 PDT,"42.0 km (  26.1 mi) S   ( 175. azimuth) from Eugene, OR",43.6762,-123.038,0,0
60846672,1.1,1408295112,8/17/14 17:05,2014/08/17 10:05:11 PDT,"15.7 km (   9.8 mi) NW  ( 317. azimuth) from Portland, OR",45.6392,-122.7567,10,6.2
10827028,1.3,1315987390,9/14/11 8:03,2011/09/14 01:03:09 PDT,"3.4 km (   2.1 mi) NW  ( 325. azimuth) from Entiat, WA",47.6868,-120.2493,3.8,2.3
10828943,1.2,1318057443,10/8/11 7:04,2011/10/08 00:04:02 PDT,"10.6 km (   6.6 mi) NNE (  25. azimuth) from Tacoma, WA",47.3232,-122.3742,7.5,4.7
60886861,2.4,1411668701,9/25/14 18:11,2014/09/25 11:11:40 PDT,"2.3 km (   1.4 mi) WNW ( 300. azimuth) from Bend, OR",44.0688,-121.3332,0,0
60681512,0.8,1391205584,1/31/14 21:59,2014/01/31 13:59:43 PST,"25.6 km (  15.9 mi) NE  (  42. azimuth) from Longview, WA",46.3087,-122.7215,0,0
61036017,1.3,1435649587,6/30/15 7:33,2015/06/30 00:33:07 PDT,"19.1 km (  11.9 mi) ESE ( 106. azimuth) from Friday Harbor, WA",48.4875,-122.7555,26.8,16.6
60996176,0.8,1428529129,4/8/15 21:38,2015/04/08 14:38:49 PDT,"48.2 km (  29.9 mi) S   ( 175. azimuth) from Port Angeles, WA",47.6837,-123.3843,9,5.6
10823333,2.2,1315047720,9/3/11 11:01,2011/09/03 04:01:59 PDT,"16.0 km (   9.9 mi) NNW ( 338. azimuth) from Tacoma, WA",47.3698,-122.5138,56.9,35.3
60434437,2.3,1343927909,8/2/12 17:18,2012/08/02 10:18:28 PDT,"66.5 km (  41.3 mi) E   (  83. azimuth) from Hope, BC",49.4512,-120.5367,0,0
10784023,1,1262640125,1/4/10 21:22,2010/01/04 13:22:05 PST,"13.9 km (   8.6 mi) ESE ( 115. azimuth) from Maupin, OR",45.1225,-120.9192,15.6,9.6
60404887,1.6,1337620208,5/21/12 17:10,2012/05/21 10:10:08 PDT,"34.6 km (  21.5 mi) NNE (  16. azimuth) from Portland, OR",45.8347,-122.4992,0,0
10812588,1.8,1302607039,4/12/11 11:17,2011/04/12 04:17:18 PDT,"37.0 km (  23.0 mi) SSE ( 159. azimuth) from Morton, WA",46.2478,-122.1012,7.4,4.6
10810093,0.9,1285147303,9/22/10 9:21,2010/09/22 02:21:42 PDT,"17.6 km (  10.9 mi) NW  ( 313. azimuth) from Deming, WA",48.9323,-122.3933,73.7,45.7
60999146,0.9,1429094648,4/15/15 10:44,2015/04/15 03:44:07 PDT,"35.6 km (  22.1 mi) E   (  93. azimuth) from Morton, WA",46.5435,-121.8105,6.1,3.8
60533161,2.9,1369495380,5/25/13 15:22,2013/05/25 08:22:59 PDT,"9.2 km (   5.7 mi) NE  (  34. azimuth) from Sedro Woolley, WA",48.5687,-122.1647,15.4,9.5
60608997,0.7,1381483012,10/11/13 9:16,2013/10/11 02:16:52 PDT,"5.0 km (   3.1 mi) SE  ( 138. azimuth) from Bremerton, WA",47.533,-122.5853,18.1,11.2
61026771,2.2,1432917938,5/29/15 16:45,2015/05/29 09:45:38 PDT,"24.6 km (  15.3 mi) WNW ( 285. azimuth) from Eugene, OR",44.1102,-123.3828,0,0
61002927,1.2,1431640702,5/14/15 21:58,2015/05/14 14:58:21 PDT,"16.1 km (  10.0 mi) S   ( 173. azimuth) from Morton, WA",46.4147,-122.2482,0,0
10825708,2,1314228532,8/24/11 23:28,2011/08/24 16:28:52 PDT,"3.9 km (   2.4 mi) NNE (  14. azimuth) from Carnation, Wa",47.6818,-121.9022,23.4,14.5
60068813,1,1407094219,8/3/14 19:30,2014/08/03 12:30:18 PDT,"26.8 km (  16.7 mi) NW  ( 307. azimuth) from Portland, OR",45.6813,-122.8942,8,5
60638376,1.2,1385435797,11/26/13 3:16,2013/11/25 19:16:37 PST,"6.3 km (   3.9 mi) NNW ( 334. azimuth) from Kirkland, Wa",47.7325,-122.2433,22,13.6
60383372,2.1,1330452274,2/28/12 18:04,2012/02/28 10:04:33 PST,"68.2 km (  42.4 mi) WSW ( 257. azimuth) from Penticton, BC",49.3585,-120.5008,0,0
60966256,0.8,1423620455,2/11/15 2:07,2015/02/10 18:07:35 PST,"40.6 km (  25.2 mi) S   ( 170. azimuth) from Morton, WA",46.1993,-122.1793,3.2,2
10794058,1.4,1278092353,7/2/10 17:39,2010/07/02 10:39:13 PDT,"39.3 km (  24.4 mi) SW  ( 218. azimuth) from Newport, OR",44.3593,-124.3588,28.7,17.8
10810763,0.9,1299021461,3/1/11 23:17,2011/03/01 15:17:41 PST,"40.2 km (  25.0 mi) ESE ( 109. azimuth) from Longview, WA",46.0207,-122.4478,16.5,10.2
10782678,1.2,1265010038,2/1/10 7:40,2010/01/31 23:40:38 PST,"11.2 km (   7.0 mi) WSW ( 244. azimuth) from Morton, WA",46.5135,-122.4065,19.3,12
60682777,1.5,1391282704,2/1/14 19:25,2014/02/01 11:25:04 PST,"11.9 km (   7.4 mi) ESE ( 104. azimuth) from Bremerton, WA",47.5417,-122.476,20.4,12.6
10801958,2.7,1282959553,8/28/10 1:39,2010/08/27 18:39:12 PDT,"45.1 km (  28.0 mi) SSW ( 205. azimuth) from Maupin, OR",44.8068,-121.3195,8.2,5.1
60464512,0.9,1350301878,10/15/12 11:51,2012/10/15 04:51:17 PDT,"21.5 km (  13.4 mi) NW  ( 322. azimuth) from Poulsbo, WA",47.8872,-122.8227,13.1,8.1
60424157,1.5,1341853493,7/9/12 17:04,2012/07/09 10:04:53 PDT,"13.0 km (   8.1 mi) E   (  85. azimuth) from Christmas Valley, OR",43.2483,-120.5208,1.2,0.8
60405336,2.2,1332810083,3/27/12 1:01,2012/03/26 18:01:23 PDT,"41.4 km (  25.7 mi) ENE (  59. azimuth) from Skykomish, WA",47.8978,-120.8872,8.2,5.1
60420052,2.2,1341005354,6/29/12 21:29,2012/06/29 14:29:13 PDT,"67.2 km (  41.8 mi) W   ( 261. azimuth) from Penticton, BC",49.4013,-120.5007,0,0
60440477,1.7,1344809876,8/12/12 22:17,2012/08/12 15:17:55 PDT,"24.9 km (  15.5 mi) SE  ( 130. azimuth) from Woodburn, OR",45.0015,-122.6098,0,0
60993722,0.9,1430267779,4/29/15 0:36,2015/04/28 17:36:19 PDT,"58.3 km (  36.2 mi) WSW ( 238. azimuth) from The Dalles, OR",45.3157,-121.805,0,0
60815551,1.1,1403572537,6/24/14 1:15,2014/06/23 18:15:36 PDT,"10.2 km (   6.3 mi) SW  ( 222. azimuth) from Chelan, WA",47.7735,-120.1035,6.6,4.1
61029097,0.8,1434604732,6/18/15 5:18,2015/06/17 22:18:52 PDT,"7.6 km (   4.7 mi) E   (  89. azimuth) from Bremerton, WA",47.568,-122.5292,24.2,15
60530322,2.3,1368652852,5/15/13 21:20,2013/05/15 14:20:51 PDT,"67.4 km (  41.9 mi) W   ( 263. azimuth) from Penticton, BC",49.4212,-120.5077,0,0
60481676,0.9,1351358062,10/27/12 17:14,2012/10/27 10:14:22 PDT,"40.5 km (  25.2 mi) S   ( 171. azimuth) from Morton, WA",46.199,-122.1898,2.5,1.6
60728311,1.1,1395764936,3/25/14 16:28,2014/03/25 09:28:55 PDT,"12.1 km (   7.5 mi) ENE (  73. azimuth) from The Dalles, OR",45.6262,-121.0242,0,0
60475917,0.7,1353251525,11/18/12 15:12,2012/11/18 07:12:04 PST,"6.9 km (   4.3 mi) ESE ( 105. azimuth) from Poulsbo, WA",47.7183,-122.5555,16.4,10.2
60381542,0.9,1329952097,2/22/12 23:08,2012/02/22 15:08:17 PST,"6.8 km (   4.2 mi) SE  ( 144. azimuth) from Enumclaw, WA",47.1558,-121.935,0,0
60575437,1.5,1376931714,8/19/13 17:01,2013/08/19 10:01:54 PDT,"33.7 km (  20.9 mi) ENE (  64. azimuth) from Longview, WA",46.2712,-122.5497,0,0
60581622,2.4,1377806949,8/29/13 20:09,2013/08/29 13:09:08 PDT,"8.1 km (   5.0 mi) SE  ( 133. azimuth) from Astoria, OR",46.1357,-123.7575,0,0
61022161,2.6,1432459295,5/24/15 9:21,2015/05/24 02:21:34 PDT,"11.1 km (   6.9 mi) E   (  99. azimuth) from Monroe, WA",47.8412,-121.8245,20.2,12.5
60072463,0.8,1407604123,8/9/14 17:08,2014/08/09 10:08:43 PDT,"40.2 km (  25.0 mi) S   ( 170. azimuth) from Morton, WA",46.2028,-122.1827,3.8,2.3
60398652,0.8,1335979887,5/2/12 17:31,2012/05/02 10:31:27 PDT,"6.0 km (   3.8 mi) S   ( 182. azimuth) from Sedro Woolley, WA",48.4457,-122.2385,10.4,6.4
10809168,2,1290745732,11/26/10 4:28,2010/11/25 20:28:51 PST,"24.4 km (  15.2 mi) ESE ( 116. azimuth) from Eatonville, WA",46.7718,-121.976,6.4,4
10799118,0.7,1272316822,4/26/10 21:20,2010/04/26 14:20:21 PDT,"36.5 km (  22.7 mi) SW  ( 227. azimuth) from Port Angeles, WA",47.8908,-123.8012,12.1,7.5
10831053,1.5,1317165251,9/27/11 23:14,2011/09/27 16:14:11 PDT,"9.6 km (   6.0 mi) NNW ( 337. azimuth) from Friday Harbor, WA",48.6145,-123.0567,13.4,8.3
60554336,1.5,1373980219,7/16/13 13:10,2013/07/16 06:10:19 PDT,"44.1 km (  27.4 mi) NNW ( 329. azimuth) from Newberg, OR",45.6397,-123.2647,18.5,11.5
10832923,2.2,1319538382,10/25/11 10:26,2011/10/25 03:26:21 PDT,"39.3 km (  24.4 mi) E   (  90. azimuth) from Eatonville, WA",46.8673,-121.7477,1.7,1
10815628,1.5,1304024088,4/28/11 20:54,2011/04/28 13:54:47 PDT,"26.1 km (  16.2 mi) E   (  83. azimuth) from Centralia, WA",46.7452,-122.62,0,0
60456732,0.8,1348768866,9/27/12 18:01,2012/09/27 11:01:06 PDT,"39.6 km (  24.6 mi) E   (  86. azimuth) from Morton, WA",46.5813,-121.7582,1.3,0.8
60921536,0.8,1415621782,11/10/14 12:16,2014/11/10 04:16:22 PST,"17.7 km (  11.0 mi) SSW ( 210. azimuth) from Morton, WA",46.4202,-122.3903,18.9,11.7
10821803,2.5,1297940105,2/17/11 10:55,2011/02/17 02:55:04 PST,"31.4 km (  19.5 mi) S   ( 172. azimuth) from Morton, WA",46.2787,-122.2145,6.3,3.9
60551016,1.9,1373490888,7/10/13 21:14,2013/07/10 14:14:47 PDT,"66.5 km (  41.3 mi) W   ( 260. azimuth) from Penticton, BC",49.3998,-120.4902,0,0
60519722,1.6,1366482260,4/20/13 18:24,2013/04/20 11:24:19 PDT,"24.0 km (  14.9 mi) E   (  84. azimuth) from Monroe, WA",47.8785,-121.6513,8.6,5.4
10803263,1,1276930467,6/19/10 6:54,2010/06/18 23:54:27 PDT,"12.3 km (   7.6 mi) NNW ( 339. azimuth) from Friday Harbor, WA",48.6383,-123.0642,16.3,10.1
60840807,1.5,1407804171,8/12/14 0:42,2014/08/11 17:42:50 PDT,"17.8 km (  11.0 mi) ENE (  64. azimuth) from Canby, OR",45.333,-122.4868,26.2,16.3
60523927,1.5,1367464948,5/2/13 3:22,2013/05/01 20:22:28 PDT,"12.6 km (   7.8 mi) S   ( 182. azimuth) from Lakeview, OR",42.0793,-120.3512,5.6,3.4
60627416,2.8,1384170404,11/11/13 11:46,2013/11/11 03:46:43 PST,"40.8 km (  25.4 mi) WSW ( 259. azimuth) from Bremerton, WA",47.4945,-123.1628,43,26.6
10819173,1.5,1309601802,7/2/11 10:16,2011/07/02 03:16:41 PDT,"19.4 km (  12.0 mi) ESE ( 123. azimuth) from Woodburn, OR",45.0487,-122.6472,13.2,8.2
10808948,1.6,1284669086,9/16/10 20:31,2010/09/16 13:31:26 PDT,"8.9 km (   5.5 mi) NE  (  39. azimuth) from North Bend, WA",47.559,-121.7113,1.7,1
60517457,0.8,1365851200,4/13/13 11:06,2013/04/13 04:06:40 PDT,"25.8 km (  16.0 mi) SSW ( 198. azimuth) from Bremerton, WA",47.3465,-122.7372,25,15.5
60420302,0.8,1341043505,6/30/12 8:05,2012/06/30 01:05:04 PDT,"0.8 km (   0.5 mi) W   ( 273. azimuth) from Seattle, WA",47.6023,-122.345,23.8,14.8
60457022,2.7,1348839961,9/28/12 13:46,2012/09/28 06:46:00 PDT,"38.2 km (  23.8 mi) SSE ( 161. azimuth) from Morton, WA",46.233,-122.1132,9.5,5.9
60954107,0.6,1423459228,2/9/15 5:20,2015/02/08 21:20:27 PST,"24.4 km (  15.1 mi) E   (  95. azimuth) from Eatonville, WA",46.8493,-121.9455,9.7,6
60380592,0.6,1329689893,2/19/12 22:18,2012/02/19 14:18:13 PST,"6.3 km (   3.9 mi) WNW ( 295. azimuth) from Entiat, WA",47.686,-120.2988,1.2,0.7
10808473,1,1290463387,11/22/10 22:03,2010/11/22 14:03:07 PST,"11.6 km (   7.2 mi) W   ( 278. azimuth) from Morton, WA",46.5725,-122.425,16.2,10
10821158,0.8,1309066118,6/26/11 5:28,2011/06/25 22:28:38 PDT,"11.3 km (   7.0 mi) W   ( 270. azimuth) from Bremerton, WA",47.566,-122.7807,18,11.1
60728056,0.7,1395706960,3/25/14 0:22,2014/03/24 17:22:40 PDT,"54.3 km (  33.8 mi) WNW ( 285. azimuth) from Maupin, OR",45.3043,-121.7492,6.9,4.3
10803648,1.7,1277224559,6/22/10 16:35,2010/06/22 09:35:58 PDT,"23.0 km (  14.3 mi) SE  ( 134. azimuth) from Eugene, OR",43.9088,-122.8793,3.4,2.1
10820858,1.5,1312812644,8/8/11 14:10,2011/08/08 07:10:44 PDT,"40.2 km (  25.0 mi) S   ( 171. azimuth) from Morton, WA",46.2015,-122.1935,0,0
60512596,1.8,1364234705,3/25/13 18:05,2013/03/25 11:05:04 PDT,"32.5 km (  20.2 mi) SSW ( 204. azimuth) from Prosser, Wa",45.9393,-119.9372,0,0
60394667,1.6,1334857258,4/19/12 17:40,2012/04/19 10:40:57 PDT,"1.9 km (   1.2 mi) WSW ( 242. azimuth) from Entiat, WA",47.6538,-120.2453,3.5,2.2
60671672,0.8,1389876976,1/16/14 12:56,2014/01/16 04:56:15 PST,"26.2 km (  16.3 mi) E   ( 100. azimuth) from Eatonville, WA",46.826,-121.9262,9.5,5.9
60967821,0.9,1423833556,2/13/15 13:19,2015/02/13 05:19:16 PST,"0.9 km (   0.6 mi) NNW ( 348. azimuth) from Kirkland, Wa",47.6898,-122.2095,5.1,3.1
60629941,0.8,1384515684,11/15/13 11:41,2013/11/15 03:41:24 PST,"28.0 km (  17.4 mi) SSW ( 196. azimuth) from Morton, WA",46.3163,-122.374,15.1,9.4
60731597,1,1396565521,4/3/14 22:52,2014/04/03 15:52:01 PDT,"1.1 km (   0.7 mi) NNE (  21. azimuth) from Granite Falls, WA",48.0935,-121.9625,0,0
60993622,1.7,1430251504,4/28/15 20:05,2015/04/28 13:05:03 PDT,"36.4 km (  22.6 mi) E   (  90. azimuth) from Moses Lake, WA",47.1262,-118.8015,0,0
10793878,1.4,1278000161,7/1/10 16:02,2010/07/01 09:02:41 PDT,"21.0 km (  13.1 mi) E   (  96. azimuth) from Newport, OR",44.6188,-123.7877,16.1,10
60874231,0.6,1410281354,9/9/14 16:49,2014/09/09 09:49:13 PDT,"49.6 km (  30.8 mi) WNW ( 289. azimuth) from Maupin, OR",45.323,-121.6772,6.9,4.3
10811173,0.9,1292155226,12/12/10 12:00,2010/12/12 04:00:26 PST,"25.4 km (  15.8 mi) SE  ( 144. azimuth) from Vancouver, BC",48.9458,-122.8537,23.1,14.3
60431956,1.1,1340357127,6/22/12 9:25,2012/06/22 02:25:26 PDT,"39.7 km (  24.7 mi) E   (  85. azimuth) from Longview, WA",46.1697,-122.4283,18.8,11.7
10833388,0.8,1324777970,12/25/11 1:52,2011/12/24 17:52:50 PST,"18.3 km (  11.4 mi) E   (  84. azimuth) from Port Angeles, WA",48.1313,-123.198,39.7,24.6
60428281,1.8,1339532770,6/12/12 20:26,2012/06/12 13:26:09 PDT,"68.1 km (  42.3 mi) W   ( 259. azimuth) from Penticton, BC",49.3847,-120.508,0,0
10798813,1.7,1281589838,8/12/10 5:10,2010/08/11 22:10:38 PDT,"52.7 km (  32.8 mi) WSW ( 240. azimuth) from The Dalles, OR",45.3612,-121.7612,5,3.1
60492981,1,1355300061,12/12/12 8:14,2012/12/12 00:14:21 PST,"23.2 km (  14.4 mi) E   (  86. azimuth) from Monroe, WA",47.8707,-121.6612,12.6,7.8
60400177,2.3,1336497667,5/8/12 17:21,2012/05/08 10:21:06 PDT,"66.0 km (  41.0 mi) WSW ( 256. azimuth) from Penticton, BC",49.3515,-120.4667,0,0
60847192,0.7,1408345193,8/18/14 6:59,2014/08/17 23:59:52 PDT,"7.2 km (   4.5 mi) SSW ( 209. azimuth) from Skykomish, WA",47.65,-121.4093,7.3,4.5
10807448,1.3,1287216986,10/16/10 8:16,2010/10/16 01:16:26 PDT,"41.0 km (  25.4 mi) S   ( 170. azimuth) from Morton, WA",46.1952,-122.1858,1.2,0.7
60452192,1.6,1347693920,9/15/12 7:25,2012/09/15 00:25:19 PDT,"38.1 km (  23.7 mi) ENE (  62. azimuth) from Diablo, WA",48.877,-120.6848,10,6.2
60605817,2.3,1380958024,10/5/13 7:27,2013/10/05 00:27:04 PDT,"11.0 km (   6.8 mi) ESE ( 123. azimuth) from North Bend, WA",47.4432,-121.6617,17.7,11
60575727,1.1,1376951335,8/19/13 22:28,2013/08/19 15:28:55 PDT,"27.7 km (  17.2 mi) NE  (  51. azimuth) from Portland, OR",45.692,-122.344,0,0
10827463,2.2,1311625591,7/25/11 20:26,2011/07/25 13:26:31 PDT,"26.2 km (  16.3 mi) NW  ( 323. azimuth) from Eugene, OR",44.2402,-123.283,1.4,0.9
60602507,1.6,1380578734,9/30/13 22:05,2013/09/30 15:05:34 PDT,"40.2 km (  25.0 mi) S   ( 170. azimuth) from Morton, WA",46.2022,-122.1858,2.6,1.6
60540097,0.9,1371099723,6/13/13 5:02,2013/06/12 22:02:02 PDT,"8.8 km (   5.5 mi) W   ( 260. azimuth) from Seattle, WA",47.5887,-122.4495,24.4,15.1
60491177,0.9,1358004285,1/12/13 15:24,2013/01/12 07:24:44 PST,"66.9 km (  41.6 mi) NE  (  51. azimuth) from Portland, OR",45.9133,-121.9503,4.8,3
60890052,2.9,1412924814,10/10/14 7:06,2014/10/10 00:06:53 PDT,"89.3 km (  55.5 mi) W   ( 262. azimuth) from Eureka, CA",40.6703,-125.2067,9,5.6
60462221,1.7,1347046355,9/7/12 19:32,2012/09/07 12:32:35 PDT,"50.6 km (  31.4 mi) S   ( 186. azimuth) from Coos Bay, OR",42.9147,-124.2793,0,0
60922967,2.5,1416766550,11/23/14 18:15,2014/11/23 10:15:49 PST,"59.6 km (  37.1 mi) SW  ( 231. azimuth) from Forks, WA",47.6098,-125.0027,20.8,12.9
60478966,2.1,1350757609,10/20/12 18:26,2012/10/20 11:26:49 PDT,"6.3 km (   3.9 mi) E   (  98. azimuth) from Entiat, WA",47.6533,-120.1395,0.5,0.3
10805828,1.6,1289103997,11/7/10 4:26,2010/11/06 21:26:37 PDT,"12.9 km (   8.0 mi) NNW ( 328. azimuth) from Canby, OR",45.361,-122.7782,15.9,9.9
61022682,1,1433701871,6/7/15 18:31,2015/06/07 11:31:11 PDT,"19.5 km (  12.1 mi) SW  ( 227. azimuth) from Eatonville, WA",46.7492,-122.4533,24.2,15
60672507,0.9,1390020942,1/18/14 4:55,2014/01/17 20:55:42 PST,"12.2 km (   7.6 mi) ENE (  77. azimuth) from Poulsbo, WA",47.7595,-122.4863,22.6,14
60621232,0.8,1383279171,11/1/13 4:12,2013/10/31 21:12:50 PDT,"14.0 km (   8.7 mi) N   ( 358. azimuth) from Morton, WA",46.684,-122.281,14,8.7
60040008,0.7,1385159876,11/22/13 22:37,2013/11/22 14:37:55 PST,"48.0 km (  29.8 mi) WSW ( 238. azimuth) from The Dalles, OR",45.3667,-121.6952,5.1,3.2
60707337,0.8,1393960253,3/4/14 19:10,2014/03/04 11:10:53 PST,"6.4 km (   4.0 mi) N   (   8. azimuth) from Hanford-400, WA",46.4262,-119.2665,0.6,0.4
10793813,0.8,1270460824,4/5/10 9:47,2010/04/05 02:47:03 PDT,"23.3 km (  14.5 mi) ENE (  70. azimuth) from Eatonville, WA",46.9385,-121.9765,15.5,9.6
10819448,1.4,1308544576,6/20/11 4:36,2011/06/19 21:36:16 PDT,"11.8 km (   7.4 mi) SW  ( 221. azimuth) from Concrete, WA",48.4602,-121.8543,6.9,4.3
60863551,0.8,1409095372,8/26/14 23:22,2014/08/26 16:22:51 PDT,"22.1 km (  13.8 mi) NNW ( 327. azimuth) from Granite Falls, WA",48.251,-122.1307,15.6,9.7
60522802,1.1,1367201553,4/29/13 2:12,2013/04/28 19:12:33 PDT,"31.5 km (  19.6 mi) WSW ( 238. azimuth) from Millican, OR",43.729,-121.252,4.9,3
60509286,2.4,1362780723,3/8/13 22:12,2013/03/08 14:12:02 PST,"66.8 km (  41.5 mi) W   ( 267. azimuth) from Penticton, BC",49.4662,-120.5067,0,0
60783282,3.1,1401016903,5/25/14 11:21,2014/05/25 04:21:43 PDT,"36.7 km (  22.8 mi) SW  ( 229. azimuth) from Mount Vernon, WA",48.2033,-122.7125,56.1,34.8
60509936,1.4,1363076131,3/12/13 8:15,2013/03/12 01:15:31 PDT,"5.4 km (   3.3 mi) NNW ( 342. azimuth) from Tacoma, WA",47.2828,-122.4548,18.9,11.7
60545811,2.3,1372211159,6/26/13 1:45,2013/06/25 18:45:59 PDT,"13.4 km (   8.3 mi) E   (  97. azimuth) from Christmas Valley, OR",43.224,-120.517,8,5
10817218,0.9,1306011394,5/21/11 20:56,2011/05/21 13:56:33 PDT,"40.7 km (  25.3 mi) WSW ( 255. azimuth) from Bremerton, WA",47.4742,-123.155,46.5,28.9
60993631,1.5,1428210908,4/5/15 5:15,2015/04/04 22:15:08 PDT,"39.7 km (  24.7 mi) ENE (  58. azimuth) from Diablo, WA",48.903,-120.6822,10.2,6.3
61026091,0.9,1432855348,5/28/15 23:22,2015/05/28 16:22:27 PDT,"19.7 km (  12.2 mi) ENE (  60. azimuth) from Longview, WA",46.226,-122.7215,0,0
60517867,0.8,1366043165,4/15/13 16:26,2013/04/15 09:26:04 PDT,"5.9 km (   3.7 mi) SSW ( 199. azimuth) from Mount Vernon, WA",48.3697,-122.3648,4.2,2.6
60442111,1.4,1342537185,7/17/12 14:59,2012/07/17 07:59:45 PDT,"5.9 km (   3.7 mi) ESE ( 118. azimuth) from Seattle, WA",47.5767,-122.2648,9.2,5.7
60990822,0.6,1429775462,4/23/15 7:51,2015/04/23 00:51:01 PDT,"40.7 km (  25.3 mi) S   ( 170. azimuth) from Morton, WA",46.198,-122.1837,3.7,2.3
10795873,1.5,1278733216,7/10/10 3:40,2010/07/09 20:40:15 PDT,"41.1 km (  25.5 mi) S   ( 170. azimuth) from Morton, WA",46.1942,-122.1817,2.2,1.4
60452407,0.9,1347757991,9/16/12 1:13,2012/09/15 18:13:11 PDT,"10.1 km (   6.2 mi) W   ( 272. azimuth) from Seattle, WA",47.6047,-122.468,23.4,14.5
60885407,1.5,1412527158,10/5/14 16:39,2014/10/05 09:39:18 PDT,"25.3 km (  15.7 mi) NW  ( 318. azimuth) from Poulsbo, WA",47.903,-122.8737,20.5,12.7
60512161,0.8,1364041661,3/23/13 12:27,2013/03/23 05:27:41 PDT,"7.5 km (   4.7 mi) ESE ( 112. azimuth) from Bellingham, WA",48.7382,-122.3882,25.6,15.9
60818371,0.7,1403884010,6/27/14 15:46,2014/06/27 08:46:49 PDT,"23.5 km (  14.6 mi) ENE (  76. azimuth) from Eatonville, WA",46.92,-121.9655,12.2,7.6
60555671,1.1,1374183053,7/18/13 21:30,2013/07/18 14:30:53 PDT,"48.4 km (  30.1 mi) SSW ( 192. azimuth) from Maupin, OR",44.7492,-121.2075,0,0
60974171,1.2,1424723034,2/23/15 20:23,2015/02/23 12:23:54 PST,"13.1 km (   8.1 mi) E   (  84. azimuth) from Pasco, WA",46.247,-118.928,0,0
